------ZERO LAYER RESULTS-------
PREDICTED: 17.111130305081325, ACTUAL: 25.0
PREDICTED: 11.019861351185948, ACTUAL: 23.0
PREDICTED: 15.051616456620545, ACTUAL: 23.0
PREDICTED: 14.8744153422554, ACTUAL: 22.0
PREDICTED: 12.185292093491995, ACTUAL: 21.0
PREDICTED: 13.750139773668199, ACTUAL: 21.0
PREDICTED: 12.022060217929923, ACTUAL: 20.0
PREDICTED: 14.59932080063594, ACTUAL: 20.0
PREDICTED: 13.622374885890233, ACTUAL: 20.0
PREDICTED: 15.044976929760534, ACTUAL: 20.0
PREDICTED: 13.564007709414925, ACTUAL: 20.0
PREDICTED: 12.629870800080115, ACTUAL: 19.0
PREDICTED: 11.299585981489704, ACTUAL: 19.0
PREDICTED: 12.42771654039357, ACTUAL: 19.0
PREDICTED: 11.375140939645181, ACTUAL: 19.0
PREDICTED: 12.653839417545278, ACTUAL: 19.0
PREDICTED: 13.017936173580129, ACTUAL: 19.0
PREDICTED: 16.187888470115777, ACTUAL: 18.0
PREDICTED: 14.63268728591471, ACTUAL: 18.0
PREDICTED: 11.231592471084078, ACTUAL: 18.0
PREDICTED: 18.37525199476883, ACTUAL: 18.0
PREDICTED: 10.065012362728746, ACTUAL: 18.0
PREDICTED: 13.743797958052935, ACTUAL: 18.0
PREDICTED: 18.279582101536043, ACTUAL: 18.0
PREDICTED: 12.911267648115313, ACTUAL: 17.0
PREDICTED: 11.793822253756545, ACTUAL: 17.0
PREDICTED: 11.41257265874927, ACTUAL: 17.0
PREDICTED: 13.289434246757795, ACTUAL: 17.0
PREDICTED: 13.258933830211353, ACTUAL: 17.0
PREDICTED: 16.389262939978607, ACTUAL: 17.0
PREDICTED: 11.730322091911138, ACTUAL: 17.0
PREDICTED: 9.031865210365547, ACTUAL: 17.0
PREDICTED: 12.244162146546877, ACTUAL: 17.0
PREDICTED: 14.330668336157897, ACTUAL: 17.0
PREDICTED: 12.970342649615855, ACTUAL: 17.0
PREDICTED: 13.858365378542313, ACTUAL: 16.0
PREDICTED: 17.580736844812648, ACTUAL: 16.0
PREDICTED: 13.129181403165465, ACTUAL: 16.0
PREDICTED: 16.278162328296464, ACTUAL: 16.0
PREDICTED: 9.737338714168668, ACTUAL: 16.0
PREDICTED: 18.739784336758994, ACTUAL: 16.0
PREDICTED: 13.352348279439196, ACTUAL: 16.0
PREDICTED: 7.726312624716778, ACTUAL: 16.0
PREDICTED: 13.398392623488522, ACTUAL: 16.0
PREDICTED: 12.384105861431975, ACTUAL: 16.0
PREDICTED: 15.152678977174597, ACTUAL: 16.0
PREDICTED: 11.478018344961676, ACTUAL: 16.0
PREDICTED: 9.89387364665031, ACTUAL: 15.0
PREDICTED: 12.46464132852061, ACTUAL: 15.0
PREDICTED: 12.464611752386963, ACTUAL: 15.0
PREDICTED: 15.732959630198046, ACTUAL: 15.0
PREDICTED: 14.196028880562606, ACTUAL: 15.0
PREDICTED: 10.383299413678335, ACTUAL: 15.0
PREDICTED: 10.004654007164742, ACTUAL: 15.0
PREDICTED: 13.979225223876838, ACTUAL: 15.0
PREDICTED: 13.12089057032466, ACTUAL: 15.0
PREDICTED: 12.60399619685232, ACTUAL: 15.0
PREDICTED: 15.020004597870347, ACTUAL: 15.0
PREDICTED: 11.191967606866571, ACTUAL: 15.0
PREDICTED: 9.822346804177371, ACTUAL: 15.0
PREDICTED: 11.556331354137392, ACTUAL: 15.0
PREDICTED: 13.77654094839301, ACTUAL: 15.0
PREDICTED: 11.424655416127514, ACTUAL: 15.0
PREDICTED: 10.178350633366076, ACTUAL: 15.0
PREDICTED: 10.694116081088696, ACTUAL: 15.0
