------ZERO LAYER RESULTS-------
PREDICTED: 1.5313194086141269, ACTUAL: 6.995619625423205
PREDICTED: 1.2735580667789979, ACTUAL: 5.285637313390662
PREDICTED: 1.3299588522799957, ACTUAL: 4.566221435849517
PREDICTED: 0.9006027541370354, ACTUAL: 4.267176792994939
PREDICTED: 0.3666236349814772, ACTUAL: 4.012592060349841
PREDICTED: 0.8429438958409083, ACTUAL: 3.7914360424390283
PREDICTED: 1.2481661871404977, ACTUAL: 3.6560979645895566
PREDICTED: 0.7593889868619825, ACTUAL: 3.492256112609122
PREDICTED: 1.2065906401022495, ACTUAL: 3.392492941032009
PREDICTED: 1.218763411338038, ACTUAL: 3.3006401266708405
PREDICTED: 0.5575289911906649, ACTUAL: 3.2280337626529665
PREDICTED: 2.424505718689204, ACTUAL: 2.93651291389402
PREDICTED: 1.1703181700208027, ACTUAL: 2.800325477211381
PREDICTED: 0.6044237706598523, ACTUAL: 2.7073833121145063
PREDICTED: 0.7441102777137273, ACTUAL: 2.5726122302071057
PREDICTED: 2.502753234067721, ACTUAL: 2.5006159434931803
PREDICTED: 2.361877841744833, ACTUAL: 2.462149662665384
PREDICTED: 1.0652181985837836, ACTUAL: 2.3988039507345884
PREDICTED: 1.8496283202402815, ACTUAL: 2.329227023940467
PREDICTED: 0.8674840040029226, ACTUAL: 2.2700619012884857
PREDICTED: 0.9660056371243604, ACTUAL: 2.199444334074532
PREDICTED: 1.2731803519461629, ACTUAL: 2.1234584270966104
PREDICTED: 1.379957064240691, ACTUAL: 2.0844290831908747
PREDICTED: 1.1517552786891576, ACTUAL: 2.0255131996542803
PREDICTED: 1.0563664978298482, ACTUAL: 2.005525858729668
PREDICTED: 1.0336384694139746, ACTUAL: 1.9416152247724325
PREDICTED: 0.6908238496960641, ACTUAL: 1.8794650496471605
PREDICTED: 1.1483247806544177, ACTUAL: 1.8213182714695995
PREDICTED: 1.2884925580947264, ACTUAL: 1.7263316639055997
PREDICTED: 0.5543958191127035, ACTUAL: 1.6582280766035324
PREDICTED: 0.8280104319288611, ACTUAL: 1.5496879080283263
PREDICTED: 1.5017153235153797, ACTUAL: 1.4701758451005926
PREDICTED: 0.7587614569832726, ACTUAL: 1.430311246536665
PREDICTED: 1.0816308809879889, ACTUAL: 1.3532545070416904
PREDICTED: 1.4540587662066635, ACTUAL: 1.2725655957915476
PREDICTED: 1.2472137414976108, ACTUAL: 1.235471471385307
PREDICTED: 0.978441827757243, ACTUAL: 1.1537315878891892
PREDICTED: 1.1389202380025403, ACTUAL: 1.1085626195212777
PREDICTED: 1.520594671065124, ACTUAL: 1.0784095813505903
PREDICTED: 1.0767925350777503, ACTUAL: 1.000631880307906
PREDICTED: 0.713607292840018, ACTUAL: 0.9669838461896731
PREDICTED: 0.9245790201695572, ACTUAL: 0.9042181506398858
PREDICTED: 1.1387229459918935, ACTUAL: 0.8586616190375188
PREDICTED: 1.068974839452992, ACTUAL: 0.7419373447293773
PREDICTED: 0.8134397038398039, ACTUAL: 0.6678293725756554
PREDICTED: 0.6805573157096444, ACTUAL: 0.5596157879354227
PREDICTED: 1.139551054157185, ACTUAL: 0.47623417899637155
PREDICTED: 0.7275435562370404, ACTUAL: 0.3576744442718159
PREDICTED: 1.080253048094909, ACTUAL: 0.1906203596086497
PREDICTED: 0.6264863654403255, ACTUAL: 0.0
PREDICTED: 1.5286594710700312, ACTUAL: 0.0
PREDICTED: 0.8653410030920615, ACTUAL: 0.0
PREDICTED: 1.0578196365135584, ACTUAL: 0.0
PREDICTED: 1.4128612291804006, ACTUAL: 0.0
PREDICTED: 1.7466918880679472, ACTUAL: 0.0
PREDICTED: 2.1626665802661105, ACTUAL: 0.0
PREDICTED: 1.3994171738830343, ACTUAL: 0.0
PREDICTED: 1.378735470554791, ACTUAL: 0.0
PREDICTED: 1.0307048243695427, ACTUAL: 0.0
PREDICTED: 1.2959764325641865, ACTUAL: 0.0
PREDICTED: 1.1271376402779067, ACTUAL: 0.0
PREDICTED: 1.2387674585688337, ACTUAL: 0.0
PREDICTED: 1.2201944086675007, ACTUAL: 0.0
PREDICTED: 0.7807674512503345, ACTUAL: 0.0
